random,as1,as2,as4,as5
69.3,71.4,72.0,71.45,71.05999999999999
69.3,72.4,73.15,71.45,71.05999999999999
69.3,71.3,73.15,71.45,71.05999999999999
69.3,71.3,72.4,71.075,71.05999999999999
69.3,69.8,72.4,71.075,71.05999999999999
69.3,70.6,72.45,71.075,70.97999999999999
69.3,70.8,72.45,71.075,70.97999999999999
69.3,72.3,72.15,71.225,70.97999999999999
69.3,70.7,72.15,71.225,70.97999999999999
69.3,71.3,71.85,71.225,70.97999999999999
69.3,71.2,71.85,71.225,71.72
69.3,72.0,71.8,71.8,71.72
69.3,71.2,71.8,71.8,71.72
69.3,71.8,72.25,71.8,71.72
69.3,72.0,72.25,71.8,71.72
69.3,71.6,72.15,71.075,71.49999999999999
69.3,71.8,72.15,71.075,71.49999999999999
69.3,72.3,72.8,71.075,71.49999999999999
69.3,72.2,72.8,71.075,71.49999999999999
69.3,71.7,72.35,71.225,71.49999999999999
69.3,71.9,72.35,71.225,72.03999999999999
69.3,71.7,72.2,71.225,72.03999999999999
69.3,71.2,72.2,71.225,72.03999999999999
69.3,72.5,72.65,70.85,72.03999999999999
69.3,71.5,72.65,70.85,72.03999999999999
69.3,70.9,72.3,70.85,71.74
69.3,71.2,72.3,70.85,71.74
69.3,71.5,71.95,71.825,71.74
69.3,72.3,71.95,71.825,71.74
69.3,71.5,72.1,71.825,71.74
69.3,72.2,72.1,71.825,72.12
69.3,72.8,71.75,71.975,72.12
69.3,71.5,71.75,71.975,72.12
69.3,71.6,72.8,71.975,72.12
69.3,72.2,72.8,71.975,72.12
69.3,71.9,72.05,71.575,72.28
69.3,71.9,72.05,71.575,72.28
69.3,72.2,72.65,71.575,72.28
69.3,72.6,72.65,71.575,72.28
69.3,71.6,72.7,71.05,72.28
69.3,71.9,72.7,71.05,71.58
69.3,71.8,71.6,71.05,71.58
69.3,71.2,71.6,71.05,71.58
69.3,72.0,72.1,71.325,71.58
69.3,71.7,72.1,71.325,71.58
69.3,72.4,72.45,71.325,71.42
69.3,72.3,72.45,71.325,71.42
69.3,72.6,72.75,71.5,71.42
69.3,71.2,72.75,71.5,71.42
69.3,71.3,72.65,71.5,71.42
69.3,72.1,72.65,71.5,71.76000000000002
69.3,71.7,73.1,71.55,71.76000000000002
69.3,72.4,73.1,71.55,71.76000000000002
69.3,72.2,72.65,71.55,71.76000000000002
69.3,71.7,72.65,71.55,71.76000000000002
69.3,72.2,72.65,71.9,71.82000000000001
69.3,71.8,72.65,71.9,71.82000000000001
69.3,71.5,72.7,71.9,71.82000000000001
69.3,72.1,72.7,71.9,71.82000000000001
69.3,71.8,73.3,71.7,71.82000000000001
69.3,71.5,73.3,71.7,71.88
69.3,72.2,72.85,71.7,71.88
69.3,72.2,72.85,71.7,71.88
69.3,72.3,72.9,71.025,71.88
69.3,72.5,72.9,71.025,71.88
69.3,72.3,73.45,71.025,71.76
69.3,71.8,73.45,71.025,71.76
69.3,71.2,73.4,71.35,71.76
69.3,72.3,73.4,71.35,71.76
69.3,71.9,73.15,71.35,71.76
69.3,71.4,73.15,71.35,71.97999999999999
69.3,72.5,72.9,70.925,71.97999999999999
69.3,71.7,72.9,70.925,71.97999999999999
69.3,72.8,72.8,70.925,71.97999999999999
69.3,71.8,72.8,70.925,71.97999999999999
69.3,72.6,73.05,70.45,71.73999999999998
69.3,72.2,73.05,70.45,71.73999999999998
69.3,71.8,73.6,70.45,71.73999999999998
69.3,72.1,73.6,70.45,71.73999999999998
69.3,72.8,72.95,71.5,71.73999999999998
69.3,71.6,72.95,71.5,71.6
69.3,72.2,73.3,71.5,71.6
69.3,71.3,73.3,71.5,71.6
69.3,72.0,73.0,71.6,71.6
69.3,72.4,73.0,71.6,71.6
69.3,72.4,72.7,71.6,71.8
69.3,70.9,72.7,71.6,71.8
69.3,71.4,72.85,72.025,71.8
69.3,72.4,72.85,72.025,71.8
69.3,71.7,73.6,72.025,71.8
69.3,72.0,73.6,72.025,71.82
69.3,71.9,73.45,71.975,71.82
69.3,72.3,73.45,71.975,71.82
