run,tag,step,value
4.6,random,99,81.0
4.6,rnn,90,79.0
4.6,rnn,91,83.0
4.6,rnn,92,86.0
4.6,rnn,93,80.0
4.6,rnn,94,80.0
4.6,rnn,95,78.0
4.6,rnn,96,82.0
4.6,rnn,97,82.0
4.6,rnn,98,84.0
4.6,rnn,99,77.0
4.6,rnn_gb,90,85.0
4.6,rnn_gb,91,85.0
4.6,rnn_gb,92,86.0
4.6,rnn_gb,93,88.0
4.6,rnn_gb,94,84.0
4.6,rnn_gb,95,80.0
4.6,rnn_gb,96,84.0
4.6,rnn_gb,97,84.0
4.6,rnn_gb,98,84.0
4.6,rnn_gb,99,84.0
4.6,rnn_sb,90,85.0
4.6,rnn_sb,91,87.0
4.6,rnn_sb,92,86.0
4.6,rnn_sb,93,88.0
4.6,rnn_sb,94,84.0
4.6,rnn_sb,95,82.0
4.6,rnn_sb,96,82.0
4.6,rnn_sb,97,86.0
4.6,rnn_sb,98,84.0
4.6,rnn_sb,99,84.0
